,@attr,album,artist,date,image,loved,mbid,name,streamable,url
0,{'nowplaying': 'true'},"{'mbid': '', '#text': 'BRKNHRT.'}","{'url': 'https://www.last.fm/music/Hulvey', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hulvey'}",,"[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}]",0,,Everything,0,https://www.last.fm/music/Hulvey/_/Everything
1,,"{'mbid': '', '#text': 'BRKNHRT.'}","{'url': 'https://www.last.fm/music/Hulvey', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hulvey'}","{'uts': '1582347881', '#text': '22 Feb 2020, 05:04'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}]",0,,If I Gave it All,0,https://www.last.fm/music/Hulvey/_/If+I+Gave+it+All
2,,"{'mbid': '', '#text': 'BRKNHRT.'}","{'url': 'https://www.last.fm/music/Hulvey', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hulvey'}","{'uts': '1582347694', '#text': '22 Feb 2020, 05:01'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}]",0,,Cold Water,0,https://www.last.fm/music/Hulvey/_/Cold+Water
3,,"{'mbid': '', '#text': 'BRKNHRT.'}","{'url': 'https://www.last.fm/music/Hulvey', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hulvey'}","{'uts': '1582347480', '#text': '22 Feb 2020, 04:58'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}]",0,,Damascus,0,https://www.last.fm/music/Hulvey/_/Damascus
4,,"{'mbid': '112cc2be-5371-448f-9a19-a8ac4df9a562', '#text': 'Landmark'}","{'url': 'https://www.last.fm/music/Hippo+Campus', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hippo Campus'}","{'uts': '1582347161', '#text': '22 Feb 2020, 04:52'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/90947dfced87da56d76c3c5e0bc779d7.jpg'}]",0,8316e949-d3b7-4005-8ac3-2f83ace4f907,western kids,0,https://www.last.fm/music/Hippo+Campus/_/western+kids
5,,"{'mbid': '112cc2be-5371-448f-9a19-a8ac4df9a562', '#text': 'Landmark'}","{'url': 'https://www.last.fm/music/Hippo+Campus', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hippo Campus'}","{'uts': '1582346965', '#text': '22 Feb 2020, 04:49'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/90947dfced87da56d76c3c5e0bc779d7.jpg'}]",0,6b45900d-2094-40df-ab98-31641b24c830,tuesday,0,https://www.last.fm/music/Hippo+Campus/_/tuesday
6,,"{'mbid': '112cc2be-5371-448f-9a19-a8ac4df9a562', '#text': 'Landmark'}","{'url': 'https://www.last.fm/music/Hippo+Campus', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hippo Campus'}","{'uts': '1582346758', '#text': '22 Feb 2020, 04:45'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/90947dfced87da56d76c3c5e0bc779d7.jpg'}]",0,23fbf765-fae9-45f0-a8cd-b7ec18314105,simple season,0,https://www.last.fm/music/Hippo+Campus/_/simple+season
7,,"{'mbid': '112cc2be-5371-448f-9a19-a8ac4df9a562', '#text': 'Landmark'}","{'url': 'https://www.last.fm/music/Hippo+Campus', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hippo Campus'}","{'uts': '1582346502', '#text': '22 Feb 2020, 04:41'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/90947dfced87da56d76c3c5e0bc779d7.jpg'}]",0,8ef2be6a-f175-4974-a478-8e24db34dfb8,epitaph,0,https://www.last.fm/music/Hippo+Campus/_/epitaph
8,,"{'mbid': '112cc2be-5371-448f-9a19-a8ac4df9a562', '#text': 'Landmark'}","{'url': 'https://www.last.fm/music/Hippo+Campus', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hippo Campus'}","{'uts': '1582346343', '#text': '22 Feb 2020, 04:39'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/90947dfced87da56d76c3c5e0bc779d7.jpg'}]",0,274e845a-1ca8-4fbc-ba68-b2360d7ec99d,vines,0,https://www.last.fm/music/Hippo+Campus/_/vines
9,,"{'mbid': '112cc2be-5371-448f-9a19-a8ac4df9a562', '#text': 'Landmark'}","{'url': 'https://www.last.fm/music/Hippo+Campus', 'mbid': '', 'image': [{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png'}], 'name': 'Hippo Campus'}","{'uts': '1582346098', '#text': '22 Feb 2020, 04:34'}","[{'size': 'small', '#text': 'https://lastfm.freetls.fastly.net/i/u/34s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'medium', '#text': 'https://lastfm.freetls.fastly.net/i/u/64s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'large', '#text': 'https://lastfm.freetls.fastly.net/i/u/174s/90947dfced87da56d76c3c5e0bc779d7.jpg'}, {'size': 'extralarge', '#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/90947dfced87da56d76c3c5e0bc779d7.jpg'}]",0,002c2046-4207-499d-b08c-38eca092d67c,Way It Goes,0,https://www.last.fm/music/Hippo+Campus/_/Way+It+Goes
